name,reps,sets,muscle_group,description
Push-ups,15,3,Chest,"Bodyweight exercise for chest and triceps"
Pull-ups,10,3,Back,"Bodyweight exercise for back and biceps"
Squats,12,4,Legs,"Compound exercise for quadriceps, hamstrings, and glutes"
Bench Press,8,4,Chest,"Weightlifting exercise for chest and triceps"
Deadlifts,5,3,Back,"Weightlifting exercise for back and lower body"
Bicep Curls,10,3,Biceps,"Isolation exercise for biceps"
Tricep Dips,12,3,Triceps,"Bodyweight exercise for triceps"
Lunges,10,3,Legs,"Compound exercise for quadriceps, hamstrings, and glutes"
Shoulder Press,8,3,Shoulders,"Weightlifting exercise for shoulders"
Plank,60_seconds,3,Core,"Core strengthening exercise"
Hamstring Curls,12,3,Hamstrings,"Isolation exercise for hamstrings"
Lat Pull-downs,10,3,Back,"Machine exercise for back and biceps"
Leg Press,12,4,Legs,"Machine exercise for quadriceps, hamstrings, and glutes"
Incline Bench Press,8,3,Chest,"Weightlifting exercise for upper chest and triceps"
Dumbbell Rows,12,3,Back,"Dumbbell exercise for back and biceps"
Calf Raises,15,3,Calves,"Isolation exercise for calves"
Russian Twists,20,3,Core,"Core strengthening exercise for obliques"
Arnold Press,10,3,Shoulders,"Weightlifting exercise for shoulders and triceps"
Leg Extensions,15,3,Legs,"Isolation exercise for quadriceps"
Dead Bug,10,3,Core,"Core strengthening exercise for abs and lower back"